sid,station_name,lat,lon,elev,begints,rw_name,rw_heading,faa_id,real_name
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway 14/32,153.0,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway E/W,,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway N/S,,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway SE/NW,,LHD,Lake Hood Airport
PAML,MANLEY HOT SPRINGS,64.99756,-150.64413000000005,82.0,1977-12-01 06:00:00-06,Runway 18/36,,MLY,Manley Hot Springs Airport
PAMB,MANOKOTAK,58.98333,-159.05,16.0,2010-03-05 14:59:00-06,Runway 3/21,40.0,MBA,Manokotak Airport
PADM,MARSHALL,61.86428000000001,-162.02611000000005,31.0,2010-02-23 00:01:00-06,Runway 7/25,85.0,MDM,Marshall Don Hunter Sr Airport
PAMX,MCCARTHY,61.43333000000001,-142.93333,455.0,1974-04-21 11:00:00-05,Runway 1/19,,15Z,McCarthy Airport
PAMC,MCGRATH (ASOS),62.952780000000004,-155.60703999999996,103.0,1948-07-03 00:00:00-05,Runway 16/34,179.0,MCG,Mc Grath Airport
PAMC,MCGRATH (ASOS),62.952780000000004,-155.60703999999996,103.0,1948-07-03 00:00:00-05,Runway 5/23,68.0,MCG,Mc Grath Airport
PAIN,MCKINLEY PARK,63.7326,-148.91064,524.0,1975-12-02 17:00:00-06,Runway 16/34,,INR,Mc Kinley NTL Park Airport
PAMY,MEKORYUK,60.37,-166.27,15.0,1983-11-03 18:00:00-06,Runway 5/23,65.0,MYU,Mekoryuk Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 7/25,90.0,MRI,Merrill Field Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 16/34,180.0,MRI,Merrill Field Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 5/23,66.0,MRI,Merrill Field Airport
PAER,MERRILL PASS WEST,61.25,-153.82,358.0,1973-08-25 11:00:00-05,,,,
PAMM,Metlakatla Seaplane Base,55.1308,-131.5762,5.912203,1996-07-01 03:33:00-05,Runway E/W,,MTM,Metlakatla Seaplane Base
PAMM,Metlakatla Seaplane Base,55.1308,-131.5762,5.912203,1996-07-01 03:33:00-05,Runway N/S,,MTM,Metlakatla Seaplane Base
PAMD,MIDDLETON ISL. AMOS,59.431999999999995,-146.338,14.0,1945-01-01 07:00:00-05,Runway 2/20,34.0,MDO,Middleton Island Airport
PAMD,MIDDLETON ISL. AMOS,59.431999999999995,-146.338,14.0,1945-01-01 07:00:00-05,Runway 13/31,149.0,MDO,Middleton Island Airport
PAMH,MINCHUMINA,63.886,-152.30187,214.0,1948-07-01 05:00:00-05,Runway 3/21,45.0,MHM,Minchumina Airport
PAMO,MOUNTAIN VILLAGE,62.09528,-163.68194,102.0,2010-02-23 00:56:00-06,Runway 2/20,32.0,MOU,Mountain Village Airport
PABN,NABESNA/DEVIL MTN,62.401669999999996,-142.99528,882.0,1991-12-31 18:00:00-06,Runway 14/32,,IBN,Devils Mountain Lodge Airport
PANA,Napakiak,60.6903,-161.9785,1.0,1994-08-30 10:00:00-05,Runway 16/34,175.0,WNA,Napakiak Airport
PAOU,NELSON LAGOON,56.01,-161.16,4.0,2010-02-23 00:06:00-06,Runway 8/26,96.0,OUL,Nelson Lagoon Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4L/22R,59.0,ENN,Nenana Municipal Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4R/22L,59.0,ENN,Nenana Municipal Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4W/22W,56.0,ENN,Nenana Municipal Airport
PANW,NEW STUYAHOK,59.45,-157.33,92.0,2010-02-23 00:56:00-06,Runway 14/32,153.0,KNW,New Stuyahok Airport
PAFS,NIKOLAI,63.02,-154.36,126.0,2010-02-23 00:56:00-06,Runway 5/23,63.0,FSP,Nikolai Airport
PAWN,NOATAK,67.56611,-162.975,30.0,1994-12-31 18:00:00-06,Runway 1/19,22.0,WTK,Noatak Airport
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,1940-01-01 10:00:00-06,Runway 3/21,42.0,OME,Nome Airport
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,1940-01-01 10:00:00-06,Runway 10/28,110.0,OME,Nome Airport
PFNO,Noorvik,66.81753,-161.02225,16.8,1973-01-03 17:00:00-06,Runway 6/24,75.0,D76,Robert (Bob) Curtis Memorial Airport
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,525.0,1945-01-01 04:00:00-05,Runway 5/23,76.0,ORT,Northway Airport
PFNU,Nuiqsut,70.49542,-150.25347,-2.0,2018-07-01 19:05:00-05,Helipad H1,,AK3,Oooguruk Island Heliport
PAQT,NUIQSUT (ASOS),70.20995,-151.00556,17.0,1998-08-01 03:53:00-05,Runway 5/23,70.0,AQT,Nuiqsut Airport
PPNU,Nuiqsut/Pioneer,70.4141,-150.01859,15.0,2018-04-19 00:55:00-05,Helipad H1,,AA2,Otp Heliport
PPIT,Nunapitchuk,60.90600000000001,-162.4406,1.0,2014-05-15 10:56:00-05,Runway 18/36,196.0,16A,Nunapitchuk Airport
PPIT,Nunapitchuk,60.90600000000001,-162.4406,1.0,2014-05-15 10:56:00-05,Runway NE/SW,,16A,Nunapitchuk Airport
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Runway 16/34,180.0,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Runway 10/28,113.0,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
